"";"word1";"word2";"n"
"701";"31";"08";14
"702";"aldir_blanc";"3";14
"703";"aldir_blanc";"daqui";14
"704";"aldir_blanc";"precisamos";14
"705";"aldir_blanc";"rn";14
"706";"alguma";"coisa";14
"707";"amazoniaflix";"amazoniadoc";14
"708";"ano";"atras";14
"709";"apoio";"canto";14
"710";"aprovar";"abjetos";14
"711";"artistas";"goianos";14
"712";"belford";"roxo";14
"713";"bob";"fernandes";14
"714";"brasil";"pl";14
"715";"camara";"aprovou";14
"716";"canto";"amazoniaflix";14
"717";"cinco";"edital";14
"718";"covid";"lei";14
"719";"cultura";"precisam";14
"720";"cultura";"viva";14
"721";"deputado";"federal";14
"722";"desta";"semana";14
"723";"dia";"16";14
"724";"dia";"26";14
"725";"dia";"4";14
"726";"dizia";"aldir_blanc";14
"727";"edital";"conexao";14
"728";"edital";"lab";14
"729";"espacos";"artisticos";14
"730";"esperanca";"equilibrista";14
"731";"exposicao";"fotografica";14
"732";"federal";"governo";14
"733";"incentivo";"cultura";14
"734";"lei";"aldir_blancrj";14
"735";"ley";"aldir_blanc";14
"736";"ministra";"carmen";14
"737";"nao";"existe";14
"738";"nao";"faz";14
"739";"nao";"receberam";14
"740";"nesta";"madrugada";14
"741";"noel";"rosa";14
"742";"novo";"ep";14
"743";"novos";"projeto";14
"744";"p";"gustavo";14
"745";"pl795bolsonaroassinaja";"sanciona795";14
"746";"prazo";"maior";14
"747";"premio";"maria";14
"748";"programa";"bolsa";14
"749";"programa";"cultura";14
"750";"prorroga";"execucao";14
"751";"realiza";"oficinas";14
"752";"secult";"pa";14
"753";"ultima";"semana";14
"754";"01";"2021";13
"755";"04";"2021";13
"756";"11";"milhoes";13
"757";"1518";"2021";13
"758";"2020";"aldir_blanc";13
"759";"4";"milhoes";13
"760";"8";"bilhoes";13
"761";"870";"mil";13
"762";"agora";"aprova";13
"763";"agora";"labprorrogapravaler";13
"764";"agora";"vai";13
"765";"aldir_blanc";"decreto";13
"766";"aldir_blanc";"diz";13
"767";"aldir_blanc";"estadual";13
"768";"aldir_blanc";"favelapotente";13
"769";"aldir_blanc";"faz";13
"770";"aldir_blanc";"secretaria";13
"771";"aldir_blanc";"terminam";13
"772";"aldir_blanc";"vem";13
"773";"aldir_blanc";"vou";13
"774";"alguem";"sabe";13
"775";"ap";"informa";13
"776";"artistas";"brasileiros";13
"777";"bolsonarosp";"andreporci";13
"778";"chapada";"diamantina";13
"779";"classe";"cultura";13
"780";"coisa";"boa";13
"781";"congresso";"derrubou";13
"782";"conseguimos";"aprovar";13
"783";"coquetel";"molotov";13
"784";"ct";"almirante";13
"785";"cultura";"divulga";13
"786";"cultura";"sao";13
"787";"cultura";"vai";13
"788";"deputada";"alice";13
"789";"dessa";"vez";13
"790";"dia";"11";13
"791";"edital";"emergencial";13
"792";"emergencial";"previsto";13
"793";"escolas";"publicas";13
"794";"estados";"df";13
"795";"fatimabezerra";"cade";13
"796";"favelapotente";"cufa";13
"797";"forma";"descentralizada";13
"798";"formato";"digital";13
"799";"fundacaocultura";"cultura";13
"800";"grande";"vacaino";13
"801";"grande";"vitoria";13
"802";"jorge";"portugal";13
"803";"l3itad4s";"l03n";13
"804";"lanca";"livro";13
"805";"leia";"agora";13
"806";"linda";"musica";13
"807";"live";"show";13
"808";"manaus";"amazonas";13
"809";"memeestacao";"cidadebaixapoa";13
"810";"mestre";"aldir_blanc";13
"811";"mulheres";"negras";13
"812";"nao";"conseguiram";13
"813";"negro";"lider";13
"814";"nesta";"quarta";13
"815";"nova";"etapa";13
"816";"ofatonoato";"jornalismo";13
"817";"oito";"edital";13
"818";"pl";"aldir_blanc";13
"819";"postos";"perdidos";13
"820";"povo";"brasileiro";13
"821";"primeira";"vez";13
"822";"projeto";"aldir_blanc";13
"823";"projeto";"fomentado";13
"824";"projeto";"fomentados";13
"825";"projeto";"viabilizado";13
"826";"recuperar";"metade";13
"827";"recursos";"nao";13
"828";"retomada";"cultura";13
"829";"sabado";"dia";13
"830";"sao";"bernardo";13
"831";"sao";"francisco";13
"832";"sao";"joao";13
"833";"saofranciscodosul";"sc";13
"834";"secult";"goias";13
"835";"secult";"lanca";13
"836";"segunda";"edicao";13
"837";"soscultura";"sou1de11milhoes";13
"838";"tve";"exibe";13
"839";"vacaino";"ct";13
"840";"veto";"lei";13
"841";"via";"aldir_blanc";13
"842";"voce";"sabe";13
"843";"000";"000";12
"844";"10";"anos";12
"845";"13";"979";12
"846";"1�";"edicao";12
"847";"2";"milhoes";12
"848";"773";"9";12
"849";"acesse";"agora";12
"850";"acoes";"cultura";12
"851";"agora";"derrubavetolei";12
"852";"ajuda";"cultura";12
"853";"aldir_blanc";"apos";12
"854";"aldir_blanc";"deu";12
"855";"aldir_blanc";"funarte";12
"856";"aldir_blanc";"mendes";12
"857";"aldir_blanc";"novo";12
"858";"aldir_blanc";"parabens";12
"859";"almirante";"brasileiro";12
"860";"atende";"pedido";12
"861";"atividades";"cultura";12
"862";"augusto";"crispinianoneto";12
"863";"auxilio";"gas";12
"864";"bahia";"programa";12
"865";"brasileiro";"joao";12
"866";"choram";"marias";12
"867";"cinemadefronteira";"aldir_blanc";12
"868";"conselho";"municipal";12
"869";"coquetelmolotovexe";"lei";12
"870";"cultura";"aprovamos";12
"871";"cultura";"debate";12
"872";"cultura";"digital";12
"873";"cultura";"gospel";12
"874";"cultura";"saiba";12
"875";"dia";"21";12
"876";"dia";"25";12
"877";"divulga";"resultados";12
"878";"dois";"mil";12
"879";"duas";"leis";12
"880";"estarao";"disponiveis";12
"881";"estuda";"marketing";12
"882";"falemos11";"mfriasoficial";12
"883";"federal";"n�";12
"884";"festivalpachamama";"cinemadefronteira";12
"885";"gente";"nao";12
"886";"goias";"lanca";12
"887";"governo";"lanca";12
"888";"governoma";"lindosoanderson";12
